model,n_components,min_cluster_size,f1,precision,recall,pos_acc,neg_acc,n_clusters,n_noise
MPNet-Personality,2,5,0.7138879220327184,0.9956310679611651,0.5564297341291373,0.5564297341291373,0.99755832881172,270,786
MPNet-Personality,5,2,0.5356362914433195,0.9985196150999259,0.36597938144329895,0.36597938144329895,0.9994574064026045,998,644
MPNet-Personality,5,3,0.7035281727224855,0.9965191447041273,0.5436787845903418,0.5436787845903418,0.9981009224091155,494,641
MPNet-Personality,5,4,0.7392120075046904,0.9954065227377125,0.5879001627780792,0.5879001627780792,0.9972870320130223,340,676
MPNet-Personality,5,5,0.748135593220339,0.9968383017163505,0.5987520347259903,0.5987520347259903,0.9981009224091155,270,735
MPNet-Personality,10,2,0.5387205387205387,0.9977989728539985,0.3689636462289745,0.3689636462289745,0.9991861096039066,998,711
MPNet-Personality,10,3,0.709643605870021,0.9965652600588812,0.5510037981551817,0.5510037981551817,0.9981009224091155,476,631
MPNet-Personality,10,4,0.736068376068376,0.994916820702403,0.5841020075963104,0.5841020075963104,0.9970157352143245,338,682
MPNet-Personality,10,5,0.7396560531244679,0.9931412894375857,0.5892566467715681,0.5892566467715681,0.9959305480195334,265,723
MPNet-Personality,20,2,0.5160901045856798,0.9976671850699844,0.34807379272924577,0.34807379272924577,0.9991861096039066,1008,697
MPNet-Personality,20,3,0.6977072310405644,0.9969758064516129,0.5366250678241997,0.5366250678241997,0.9983722192078134,489,692
MPNet-Personality,20,4,0.7188204683434518,0.9966329966329966,0.5621269669017905,0.5621269669017905,0.9981009224091155,340,763
MPNet-Personality,20,5,0.736068376068376,0.994916820702403,0.5841020075963104,0.5841020075963104,0.9970157352143245,256,752
MPNet-Personality,50,2,0.53824811732065,0.9985294117647059,0.3684210526315789,0.3684210526315789,0.9994574064026045,1004,723
MPNet-Personality,50,3,0.6914761651603757,0.9969340827797649,0.5293000542593598,0.5293000542593598,0.9983722192078134,491,720
MPNet-Personality,50,4,0.736194221234399,0.9953767914932964,0.5841020075963104,0.5841020075963104,0.9972870320130223,343,735
MPNet-Personality,50,5,0.7482647706111393,0.995047276001801,0.5995659251220835,0.5995659251220835,0.9970157352143245,259,725
SciBERT (SciVocab),2,2,0.22270426608821403,0.9978401727861771,0.12533912099837222,0.12533912099837222,0.9997287032013022,1200,616
SciBERT (SciVocab),2,3,0.3708609271523179,0.995260663507109,0.22788931090613132,0.22788931090613132,0.9989148128052089,503,862
SciBERT (SciVocab),2,4,0.4323866044934294,0.9883720930232558,0.27672273467173086,0.27672273467173086,0.9967444384156267,303,1026
SciBERT (SciVocab),2,5,0.4539569847567342,0.985494106980961,0.29489962018448185,0.29489962018448185,0.9956592512208355,216,1058
SciBERT (SciVocab),5,2,0.3518891124524927,1.0,0.2135105805751492,0.2135105805751492,1.0,1072,766
SciBERT (SciVocab),5,3,0.4446319341910989,0.9990521327014218,0.28594682582745523,0.28594682582745523,0.9997287032013022,497,967
SciBERT (SciVocab),5,4,0.4875153499795334,0.9925,0.32311448724905045,0.32311448724905045,0.99755832881172,287,1034
SciBERT (SciVocab),5,5,0.48699569936514436,0.9933166248955723,0.3225718936516549,0.3225718936516549,0.9978296256104178,213,1150
SciBERT (SciVocab),10,2,0.37764084507042256,1.0,0.23277265328269126,0.23277265328269126,1.0,1045,722
SciBERT (SciVocab),10,3,0.44594026083298277,0.9925093632958801,0.2875746066196419,0.2875746066196419,0.9978296256104178,457,985
SciBERT (SciVocab),10,4,0.46550290939318373,0.9946714031971581,0.3038524145415084,0.3038524145415084,0.9983722192078134,295,1199
SciBERT (SciVocab),10,5,0.4955248169243287,0.9902439024390244,0.3304395008138904,0.3304395008138904,0.9967444384156267,215,1216
SciBERT (SciVocab),20,2,0.3566651805617477,1.0,0.21703743895822028,0.21703743895822028,1.0,1056,736
SciBERT (SciVocab),20,3,0.459194322688374,0.995475113122172,0.2984264785675529,0.2984264785675529,0.9986435160065111,468,979
SciBERT (SciVocab),20,4,0.47386903532328034,0.9930735930735931,0.31117742810634835,0.31117742810634835,0.9978296256104178,292,1156
SciBERT (SciVocab),20,5,0.5051276895234265,0.9759129759129759,0.3407487791644059,0.3407487791644059,0.9915897992403689,210,1026
SciBERT (SciVocab),50,2,0.3599555061179088,1.0,0.21947911014650026,0.21947911014650026,1.0,1070,731
SciBERT (SciVocab),50,3,0.45813322196700773,0.9945602901178604,0.2976125881714596,0.2976125881714596,0.9983722192078134,459,1012
SciBERT (SciVocab),50,4,0.46125,0.9937163375224417,0.3003255561584373,0.3003255561584373,0.9981009224091155,277,1166
SciBERT (SciVocab),50,5,0.4810178534783501,0.987363100252738,0.31795984807379274,0.31795984807379274,0.9959305480195334,216,1142
BERT Base,2,2,0.23793597706641184,0.996,0.13510580575149214,0.13510580575149214,0.9994574064026045,1200,598
BERT Base,2,3,0.41920274324903556,0.9979591836734694,0.2653282691264243,0.2653282691264243,0.9994574064026045,509,876
BERT Base,2,4,0.4909128037574025,0.9925681255161024,0.326098752034726,0.326098752034726,0.99755832881172,297,981
BERT Base,2,5,0.496237543217409,0.9910641754670999,0.33098209441128595,0.33098209441128595,0.9970157352143245,223,1057
BERT Base,5,2,0.3946910356832028,0.9967032967032967,0.24606619641888225,0.24606619641888225,0.9991861096039066,1011,701
BERT Base,5,3,0.4870848708487085,0.9966442953020134,0.32230059685295714,0.32230059685295714,0.9989148128052089,483,1011
BERT Base,5,4,0.5206247496996396,0.9938837920489296,0.352685838307108,0.352685838307108,0.9978296256104178,303,1171
BERT Base,5,5,0.5392060043452499,0.9912854030501089,0.37032013022246335,0.37032013022246335,0.9967444384156267,215,1321
BERT Base,10,2,0.3777484608619173,0.9965197215777262,0.23304395008138903,0.23304395008138903,0.9991861096039066,1040,764
BERT Base,10,3,0.5022312373225152,0.9951768488745981,0.3358654367878459,0.3358654367878459,0.9983722192078134,478,1010
BERT Base,10,4,0.5120870265914585,0.9945226917057903,0.3448182311448725,0.3448182311448725,0.9981009224091155,301,1166
BERT Base,10,5,0.5216869878073156,0.9908883826879271,0.35404232230059685,0.35404232230059685,0.9967444384156267,220,1347
BERT Base,20,2,0.3768434954875633,0.9988331388564761,0.23223005968529573,0.23223005968529573,0.9997287032013022,1061,791
BERT Base,20,3,0.4958239967406804,0.9950940310711366,0.33016820401519265,0.33016820401519265,0.9983722192078134,463,1019
BERT Base,20,4,0.5195429945880938,0.9946277820414429,0.35160065111231686,0.35160065111231686,0.9981009224091155,306,1196
BERT Base,20,5,0.514871382636656,0.9930232558139535,0.34753119913185027,0.34753119913185027,0.99755832881172,219,1413
BERT Base,50,2,0.3620613060861839,0.9987745098039216,0.22110689093868693,0.22110689093868693,0.9997287032013022,1055,739
BERT Base,50,3,0.4983726606997559,0.9959349593495935,0.3323385784047748,0.3323385784047748,0.9986435160065111,494,998
BERT Base,50,4,0.5346298868823179,0.9955654101995566,0.36543678784590344,0.36543678784590344,0.9983722192078134,297,1202
BERT Base,50,5,0.5213213213213214,0.9946524064171123,0.35322843190450354,0.35322843190450354,0.9981009224091155,221,1391
