model,threshold,trial,precision,recall,f1,pos_acc,neg_acc,num_initial_seeds,model_name
SentenceTransformer,0.1,2,0.0044490145874643856,0.4209645943685531,0.008804972768726603,0.4209645943685531,0.8828688231071059,25,allenai/scibert_scivocab_uncased
SentenceTransformer,0.5,1,0.0031443054813709978,0.3479230554781154,0.006232287544164097,0.3479230554781154,0.8628429835377608,25,allenai/scibert_scivocab_uncased
SentenceTransformer,0.5,2,0.0044490145874643856,0.4209645943685531,0.008804972768726603,0.4209645943685531,0.8828688231071059,25,allenai/scibert_scivocab_uncased
SentenceTransformer,0.1,1,0.0022497527744203935,0.45664901031502647,0.004477446707313573,0.45664901031502647,0.748176168041091,10,bert-base-uncased
SentenceTransformer,0.1,2,0.001846665154488703,0.4176191803735712,0.0036770707148809675,0.4176191803735712,0.7193165513638571,10,bert-base-uncased
SentenceTransformer,0.5,1,0.0022497527744203935,0.45664901031502647,0.004477446707313573,0.45664901031502647,0.748176168041091,10,bert-base-uncased
SentenceTransformer,0.5,2,0.001846665154488703,0.4176191803735712,0.0036770707148809675,0.4176191803735712,0.7193165513638571,10,bert-base-uncased
SentenceTransformer,0.1,1,0.002705383147534398,0.36046835795929744,0.0053704599780280485,0.36046835795929744,0.8347699241833618,25,bert-base-uncased
SentenceTransformer,0.1,2,0.003308224613970844,0.331195985503206,0.006551012980710906,0.331195985503206,0.8759267354265904,25,bert-base-uncased
SentenceTransformer,0.5,1,0.002705383147534398,0.36046835795929744,0.0053704599780280485,0.36046835795929744,0.8347699241833618,25,bert-base-uncased
SentenceTransformer,0.5,2,0.003308224613970844,0.331195985503206,0.006551012980710906,0.331195985503206,0.8759267354265904,25,bert-base-uncased
