model,threshold,precision_mean,precision_var,recall_mean,recall_var,f1_mean,f1_var,pos_acc_mean,neg_acc_mean,mcc
all-mpnet-base-v2,0.7299999999999996,0.7001448575567358,0.0,0.4042375243936437,0.0,0.512548603746907,0.0,0.4042375243936437,0.9997847280310795,0.5315778026669816
all-mpnet-base-v2,0.7399999999999997,0.728421052631579,0.0,0.3858377474212434,0.0,0.5044650993256788,0.0,0.3858377474212434,0.9998211266731676,0.5297430470468834
all-mpnet-base-v2,0.7499999999999997,0.7519908987485779,0.0,0.3685531084471703,0.0,0.49466791393826004,0.0,0.3685531084471703,0.9998488589719012,0.5260663945063286
all-mpnet-base-v2,0.7599999999999997,0.7766089108910891,0.0,0.34987454697518816,0.0,0.482413991927734,0.0,0.34987454697518816,0.9998748580019642,0.5208991853855256
all-mpnet-base-v2,0.7699999999999997,0.796875,0.0,0.32701421800947866,0.0,0.4637280094880411,0.0,0.32701421800947866,0.9998963505334828,0.5101308594259699
all-mpnet-base-v2,0.7799999999999997,0.8119030124908155,0.0,0.3080568720379147,0.0,0.44664510913500405,0.0,0.3080568720379147,0.9999112566440521,0.4997754312017355
all-mpnet-base-v2,0.7899999999999996,0.8315789473684211,0.0,0.28631168107053245,0.0,0.4259643301534633,0.0,0.28631168107053245,0.9999278960232924,0.48762382483658556
all-mpnet-base-v2,0.7999999999999996,0.8540540540540541,0.0,0.26428770560356846,0.0,0.40366191185863315,0.0,0.26428770560356846,0.9999438420950643,0.4747910148768461
all-mpnet-base-v2,0.8099999999999996,0.8703517587939699,0.0,0.24142737663785893,0.0,0.3780008729812309,0.0,0.24142737663785893,0.9999552816682918,0.4581051654967254
all-mpnet-base-v2,0.8199999999999996,0.8836158192090395,0.0,0.21800947867298578,0.0,0.34973166368515207,0.0,0.21800947867298578,0.9999642946653804,0.4386266326195722
all-mpnet-base-v2,0.8299999999999996,0.8925925925925926,0.0,0.20156119319765822,0.0,0.3288605867637025,0.0,0.20156119319765822,0.9999698411251271,0.42389293170057996
all-mpnet-base-v2,0.8399999999999996,0.9057665260196905,0.0,0.17953721773069417,0.0,0.2996742671009772,0.0,0.17953721773069417,0.9999767741998106,0.40300720430897174
all-mpnet-base-v2,0.8499999999999996,0.919047619047619,0.0,0.16141622525787566,0.0,0.27460279819777095,0.0,0.16141622525787566,0.9999823206595573,0.38492184383045075
all-mpnet-base-v2,0.8599999999999995,0.923217550274223,0.0,0.14078617228882073,0.0,0.24431543299467828,0.0,0.14078617228882073,0.9999854405431648,0.36029513366120436
all-mpnet-base-v2,0.8699999999999996,0.9354838709677419,0.0,0.12127125731809311,0.0,0.21470878578479763,0.0,0.12127125731809311,0.9999896003879749,0.33660841316739054
all-mpnet-base-v2,0.8799999999999996,0.9485861182519281,0.0,0.10287148034569278,0.0,0.18561368209255533,0.0,0.10287148034569278,0.9999930669253165,0.31218786011935706
all-mpnet-base-v2,0.8899999999999996,0.9506172839506173,0.0,0.08586562587120156,0.0,0.15750447455893635,0.0,0.08586562587120156,0.9999944535402533,0.28552161131805637
all-mpnet-base-v2,0.8999999999999996,0.9583333333333334,0.0,0.07053247839420128,0.0,0.1313944430018177,0.0,0.07053247839420128,0.9999961868089241,0.2598240780972781
all-mpnet-base-v2,0.9099999999999996,0.9590909090909091,0.0,0.058823529411764705,0.0,0.11084843708957184,0.0,0.058823529411764705,0.9999968801163924,0.2373717813849753
all-mpnet-base-v2,0.9199999999999996,0.9709302325581395,0.0,0.04655701143016448,0.0,0.088853418462357,0.0,0.04655701143016448,0.9999982667313292,0.21247775986195733
all-mpnet-base-v2,0.9299999999999996,0.9626865671641791,0.0,0.0359632004460552,0.0,0.06933619994625101,0.0,0.0359632004460552,0.9999982667313292,0.18594774773024927
all-mpnet-base-v2,0.9399999999999996,0.9595959595959596,0.0,0.02648452746027321,0.0,0.05154639175257732,0.0,0.02648452746027321,0.9999986133850634,0.15931445456487722
all-mpnet-base-v2,0.9499999999999995,0.9565217391304348,0.0,0.018399776972400333,0.0,0.036105032822757115,0.0,0.018399776972400333,0.9999989600387975,0.13257587401672286
all-mpnet-base-v2,0.9599999999999995,0.9772727272727273,0.0,0.0119877334820184,0.0,0.023684935279537318,0.0,0.0119877334820184,0.9999996533462658,0.10816763513066599
all-mpnet-base-v2,0.9699999999999995,0.9583333333333334,0.0,0.006412043490381935,0.0,0.012738853503184714,0.0,0.006412043490381935,0.9999996533462658,0.0783366522747005
all-mpnet-base-v2,0.9799999999999995,1.0,0.0,0.0016727069974909396,0.0,0.003339827442248817,0.0,0.0016727069974909396,1.0,0.04087337921702949
all-mpnet-base-v2,0.9899999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
dwulff/mpnet-personality,0.1,0.0020318482249216145,0.0,0.995260663507109,0.0,0.0040554172195059884,0.0,0.995260663507109,0.3921596631634996,0.027952772610830224
dwulff/mpnet-personality,0.11,0.0022841638141308136,0.0,0.9941455255087817,0.0,0.004557855430602944,0.0,0.9941455255087817,0.46004590388747896,0.0320976736500479
dwulff/mpnet-personality,0.12,0.0026025802285712615,0.0,0.9933091720100362,0.0,0.005191557999232122,0.0,0.9933091720100362,0.5266571521771761,0.03667478985758402
dwulff/mpnet-personality,0.13,0.002997983634635608,0.0,0.9910788960133816,0.0,0.005977884350218264,0.0,0.9910788960133816,0.5901713960057864,0.041613144929233604
dwulff/mpnet-personality,0.13999999999999999,0.0034839947838496174,0.0,0.9868971285196543,0.0,0.006943477348376226,0.0,0.9868971285196543,0.6490009612708049,0.046898851177462154
