model,n_components,min_cluster_size,min_samples,f1,precision,recall,pos_acc,neg_acc,n_clusters,n_noise
BERT Base,768,10,2,0.002346465031313616,0.001175106445318588,0.7357122943964316,0.7357122943964316,0.22241580907421613,2,631
BERT Base,768,10,3,0.002334398994773231,0.0011692468993684795,0.6665737385001393,0.6665737385001393,0.2919545481489904,2,808
BERT Base,768,10,4,0.002323855615611817,0.0011642047732942024,0.5940897686088653,0.5940897686088653,0.36621193785330514,2,1025
BERT Base,768,10,5,0.0024508068943494585,0.001228870409384216,0.4343462503484806,0.4343462503484806,0.561041736069633,3,1594
BERT Base,768,10,6,0.0023080109020949123,0.0011574723550877276,0.38528017842207973,0.38528017842207973,0.5865811032809736,2,1717
BERT Base,768,10,7,0.002321018828981738,0.0011644567591120164,0.3423473654864789,0.3423473654864789,0.6348554089942084,2,1858
BERT Base,768,10,8,0.0022899540129250806,0.001148665518300514,0.35656537496515195,0.35656537496515195,0.6144562233531607,2,1802
BERT Base,768,10,9,0.002213495793842426,0.0011101696887473786,0.35907443546138834,0.35907443546138834,0.598264720737485,2,1762
BERT Base,768,10,10,0.004037054392098908,0.0023182646133465806,0.015611931976582102,0.015611931976582102,0.9916456450064703,4,3852
BERT Base,768,10,11,0.00415996232486951,0.0024207545446240978,0.014775578477836632,0.014775578477836632,0.9924287357919633,5,3857
BERT Base,768,11,2,0.002346465031313616,0.001175106445318588,0.7357122943964316,0.7357122943964316,0.22241580907421613,2,631
BERT Base,768,11,3,0.002334398994773231,0.0011692468993684795,0.6665737385001393,0.6665737385001393,0.2919545481489904,2,808
BERT Base,768,11,4,0.002323855615611817,0.0011642047732942024,0.5940897686088653,0.5940897686088653,0.36621193785330514,2,1025
BERT Base,768,11,5,0.0024225320651220664,0.0012146930533755058,0.4293281293560078,0.4293281293560078,0.5610427760308355,2,1604
BERT Base,768,11,6,0.0023080109020949123,0.0011574723550877276,0.38528017842207973,0.38528017842207973,0.5865811032809736,2,1717
BERT Base,768,11,7,0.0025130387866434865,0.0012674209917811134,0.14608307778087537,0.14608307778087537,0.8568618200083682,2,2831
BERT Base,768,11,8,0.00577958754761592,0.003780393504596615,0.012266517981600222,0.012266517981600222,0.9959805499522831,5,3926
BERT Base,768,11,9,0.00530351069349167,0.0033430232558139534,0.01282408698076387,0.01282408698076387,0.995245990689574,5,3915
BERT Base,768,11,10,0.004037054392098908,0.0023182646133465806,0.015611931976582102,0.015611931976582102,0.9916456450064703,4,3852
BERT Base,768,11,11,0.00415996232486951,0.0024207545446240978,0.014775578477836632,0.014775578477836632,0.9924287357919633,5,3857
BERT Base,2,2,2,0.17025057757241868,0.23480392156862745,0.13353777529969335,0.13353777529969335,0.9994588735209585,1194,653
BERT Base,2,2,3,0.19490418118466898,0.15990709308558157,0.24951212712573181,0.24951212712573181,0.9983700341419263,579,924
BERT Base,2,2,4,0.19353738596640804,0.139400638663719,0.3164204070253694,0.3164204070253694,0.9975709972846613,368,1069
BERT Base,2,2,5,0.17077175697865354,0.11660381204770157,0.3189294675216058,0.3189294675216058,0.9969955520859368,290,1151
BERT Base,2,2,6,0.17726782689049747,0.1224598361527822,0.3208809590186786,0.3208809590186786,0.9971408000005546,245,1353
BERT Base,2,2,7,0.17182994454713493,0.11692493459448582,0.3239475885140786,0.3239475885140786,0.9969577668289121,211,1432
BERT Base,2,2,8,0.12905405405405404,0.08085796937839554,0.31948703652076943,0.31948703652076943,0.9954841418049497,177,1429
BERT Base,2,2,9,0.15525052403813644,0.10248169969648277,0.3200446055199331,0.3200446055199331,0.9965147433566411,174,1524
BERT Base,2,2,10,0.13981950797379156,0.0898260662377889,0.3153052690270421,0.3153052690270421,0.9960273482063963,156,1504
BERT Base,2,2,11,0.14679260133805588,0.09597735654858908,0.3119598550320602,0.3119598550320602,0.9963462696418339,149,1632
BERT Base,2,3,2,0.22322001282873638,0.2067490494296578,0.24254251463618623,0.24254251463618623,0.998842869835336,657,739
BERT Base,2,3,3,0.18808657345336144,0.14325309992706053,0.27376637858935043,0.27376637858935043,0.9979641026192116,499,887
BERT Base,2,3,4,0.188050930460333,0.13294864396999423,0.3211597435182604,0.3211597435182604,0.9973955904951706,324,1069
BERT Base,2,3,5,0.1720725276312938,0.11612714508580343,0.3320323390019515,0.3320323390019515,0.9968575838997367,256,1134
BERT Base,2,3,6,0.17310233445896345,0.11748878923766816,0.3286869250069696,0.3286869250069696,0.9969300345301785,220,1320
BERT Base,2,3,7,0.16808231475726815,0.11171286946943272,0.3392807359910789,0.3392807359910789,0.9966454318144238,185,1380
BERT Base,2,3,8,0.12763889638788403,0.07914825231016473,0.32952327850571506,0.32952327850571506,0.9952328178476755,160,1395
BERT Base,2,3,9,0.15522468503671766,0.1023454157782516,0.3211597435182604,0.3211597435182604,0.9964974106699326,161,1530
BERT Base,2,3,10,0.1410418548629931,0.0899523736365033,0.326456649010315,0.326456649010315,0.9958931932112719,140,1462
BERT Base,2,3,11,0.14335377030529042,0.09269249632172634,0.3161416225257876,0.3161416225257876,0.9961521435506979,134,1610
BERT Base,2,4,2,0.1874783211932015,0.13606041535556954,0.3013660440479509,0.3013660440479509,0.9976205687686478,425,715
BERT Base,2,4,3,0.17846491916496626,0.12419442927362097,0.31697797602453304,0.31697797602453304,0.997220530359414,356,822
BERT Base,2,4,4,0.18043882484194868,0.12304727125177521,0.3381655979927516,0.3381655979927516,0.9970031784680886,293,993
BERT Base,2,4,5,0.1678968062357729,0.11154903758020165,0.3392807359910789,0.3392807359910789,0.9966398853546771,237,1111
BERT Base,2,4,6,0.159796573875803,0.10513339790437616,0.33286869250069695,0.33286869250069695,0.9964769580996164,198,1275
BERT Base,2,4,7,0.1625681244184501,0.10672833580591674,0.34095344298856983,0.34095344298856983,0.9964516523770219,168,1373
BERT Base,2,4,8,0.12614799957774728,0.07780454456670356,0.3331474770002788,0.3331474770002788,0.9950899965091969,153,1366
BERT Base,2,4,9,0.11764112903225807,0.07180212883775303,0.3253415110119877,0.3253415110119877,0.994770381766291,143,1435
BERT Base,2,4,10,0.14077232598642725,0.08971218616044091,0.32673543350989687,0.32673543350989687,0.9958775937932343,136,1467
BERT Base,2,4,11,0.1431772908366534,0.09216959204937085,0.3206021745190967,0.3206021745190967,0.9960734531530411,127,1589
BERT Base,2,5,2,0.17452210710637678,0.11819349738116415,0.3334262614998606,0.3334262614998606,0.9969068087299889,327,690
BERT Base,2,5,3,0.17042234516259613,0.11241655540720961,0.35210482297184276,0.35210482297184276,0.9965431689628432,285,773
BERT Base,2,5,4,0.16802388707926166,0.1110413489999103,0.3451352104822972,0.3451352104822972,0.9965643148406277,247,967
BERT Base,2,5,5,0.16500885679247854,0.10918762960959337,0.33760802899358794,0.33760802899358794,0.9965750611063869,226,1126
BERT Base,2,5,6,0.15376266280752532,0.09809956143725475,0.35545023696682465,0.35545023696682465,0.9959365249280433,175,1164
BERT Base,2,5,7,0.16277843679978912,0.10658496591007163,0.3442988569835517,0.3442988569835517,0.9964114405438581,166,1359
