model,n_components,min_cluster_size,min_samples,f1,precision,recall,pos_acc,neg_acc,n_clusters,n_noise
MPNet-Personality,768,3,5,0.002486257846061752,0.001244795290779845,0.9286311681070533,0.9286311681070533,0.07352941686255492,2,200
MPNet-Personality,768,3,6,0.2105922908179254,0.24042933810375672,0.18734318371898523,0.18734318371898523,0.9992640541223542,104,3257
MPNet-Personality,768,3,7,0.17454668700220302,0.22255834053586862,0.14357401728463898,0.14357401728463898,0.9993763699322258,81,3436
MPNet-Personality,768,3,8,0.14544875875238703,0.16944753429736745,0.1274045163088932,0.1274045163088932,0.9992234956354562,68,3497
MPNet-Personality,768,3,9,0.12510566356720204,0.15893470790378006,0.1031502648452746,0.1031502648452746,0.9993212519884925,61,3596
MPNet-Personality,768,3,10,0.10284614326962739,0.10146500271296799,0.10426540284360189,0.10426540284360189,0.9988518828324244,41,3617
MPNet-Personality,768,3,11,0.09460946094609461,0.10842939481268012,0.0839141343741288,0.0839141343741288,0.9991420320079258,40,3691
MPNet-Personality,768,4,2,0.42328042328042326,0.3940413262854397,0.4572065793141901,0.4572065793141901,0.9991257392824199,325,1906
MPNet-Personality,768,4,3,0.3288135593220339,0.29060560667665314,0.378589350432116,0.378589350432116,0.9988508428712219,235,2374
MPNet-Personality,768,4,4,0.29282617815690115,0.2937710437710438,0.29188737106216894,0.29188737106216894,0.9991274725510907,165,2837
MPNet-Personality,768,4,5,0.002486257846061752,0.001244795290779845,0.9286311681070533,0.9286311681070533,0.07352941686255492,2,200
MPNet-Personality,768,4,6,0.20357803824799506,0.22782188470831896,0.18399776972400333,0.18399776972400333,0.9992245355966587,85,3289
MPNet-Personality,768,4,7,0.17280687262514455,0.21208434712084348,0.14580429328129357,0.14580429328129357,0.9993264517945051,71,3444
MPNet-Personality,768,4,8,0.139117859725235,0.14453125,0.13409534429885697,0.13409534429885697,0.9990130768188141,52,3468
MPNet-Personality,768,4,9,0.12255713812520702,0.15095879232966136,0.1031502648452746,0.1031502648452746,0.9992786135791895,50,3611
MPNet-Personality,768,4,10,0.1005933117583603,0.09741446852964221,0.10398661834402008,0.10398661834402008,0.9988019646947038,34,3626
MPNet-Personality,768,4,11,0.09438414346389806,0.10830324909747292,0.08363534987454697,0.08363534987454697,0.9991437652765968,33,3712
MPNet-Personality,768,5,2,0.3447827500270885,0.28199220134704006,0.4435461388346808,0.4435461388346808,0.9985957057228718,228,2064
MPNet-Personality,768,5,3,0.3008036739380023,0.2557095451883662,0.3652076944521885,0.3652076944521885,0.9986782093116047,169,2502
MPNet-Personality,768,5,4,0.0024655852937732915,0.0012343976277498104,0.9481460830777809,0.9481460830777809,0.0460820674983352,2,135
MPNet-Personality,768,5,5,0.002486257846061752,0.001244795290779845,0.9286311681070533,0.9286311681070533,0.07352941686255492,2,200
MPNet-Personality,768,5,6,0.1979244999248007,0.21489222730241672,0.18344020072483969,0.18344020072483969,0.999166644423052,70,3328
MPNet-Personality,768,5,7,0.17235876157037983,0.20156774916013437,0.15054362977418456,0.15054362977418456,0.9992585076626075,58,3457
MPNet-Personality,768,5,8,0.13720087019579405,0.14298669891172913,0.1318650683022024,0.1318650683022024,0.9990172366636242,43,3504
MPNet-Personality,768,5,9,0.004065215680626679,0.0020434909811742085,0.38165597992751604,0.38165597992751604,0.768240139521195,3,2238
MPNet-Personality,768,5,10,0.004295212863012998,0.0021617551174088327,0.32812935600780596,0.32812935600780596,0.8116671860695117,2,2447
MPNet-Personality,768,5,11,0.09159599074787972,0.10248447204968944,0.0827989963758015,0.0827989963758015,0.9990983536374203,27,3725
MPNet-Personality,768,6,2,0.29475251209527353,0.22119815668202766,0.441594647337608,0.441594647337608,0.9980667121245264,179,2095
