model,threshold,trial,precision,recall,f1,pos_acc,neg_acc,num_initial_seeds,model_name
SentenceTransformer,0.6,4,0.22115045288789553,0.5241148592138277,0.3110522832561218,0.5241148592138277,0.9977048056260515,10,all-mpnet-base-v2
SentenceTransformer,0.6,5,0.22675974403723095,0.5433509896849735,0.3199802988015104,0.5433509896849735,0.9976961392826972,10,all-mpnet-base-v2
SentenceTransformer,0.6,6,0.2146980461811723,0.5391692221912462,0.30710599444223896,0.5391692221912462,0.9975477714844718,10,all-mpnet-base-v2
SentenceTransformer,0.6,7,0.22544153295625072,0.5444661276833008,0.31885714285714284,0.5444661276833008,0.9976739534437102,10,all-mpnet-base-v2
SentenceTransformer,0.6,8,0.22069839806384695,0.5338723166991916,0.31229615133724725,0.5338723166991916,0.9976559274495332,10,all-mpnet-base-v2
SentenceTransformer,0.6,9,0.2223756906077348,0.5386116531920825,0.31478615071283095,0.5386116531920825,0.9976580073719383,10,all-mpnet-base-v2
SentenceTransformer,0.6,10,0.21618261950502882,0.5333147477000278,0.3076551945963332,0.5333147477000278,0.9975956096997874,10,all-mpnet-base-v2
SentenceTransformer,0.65,1,0.35712845331720106,0.493727348759409,0.4144629066229815,0.493727348759409,0.9988948678954617,10,all-mpnet-base-v2
SentenceTransformer,0.65,2,0.35320266720549603,0.48731530526902705,0.4095595126522962,0.48731530526902705,0.9988903613969174,10,all-mpnet-base-v2
SentenceTransformer,0.65,3,0.3628518594616807,0.49233342626149984,0.4177903950792524,0.49233342626149984,0.9989250267703346,10,all-mpnet-base-v2
SentenceTransformer,0.65,4,0.359036632260676,0.49456370225815444,0.4160412757973734,0.49456370225815444,0.9989021476238793,10,all-mpnet-base-v2
SentenceTransformer,0.65,5,0.35757211538461536,0.4976303317535545,0.41613241636554377,0.4976303317535545,0.9988882814745125,10,all-mpnet-base-v2
SentenceTransformer,0.65,6,0.359463850528026,0.49344856425982714,0.41593232287627774,0.49344856425982714,0.9989066541224235,10,all-mpnet-base-v2
SentenceTransformer,0.65,7,0.36199919061108865,0.4987454697518818,0.4195099073748388,0.4987454697518818,0.9989070007761577,10,all-mpnet-base-v2
SentenceTransformer,0.65,8,0.37463188893563315,0.49651519375522724,0.4270471166526795,0.49651519375522724,0.9989693984483086,10,all-mpnet-base-v2
SentenceTransformer,0.65,9,0.3567263221395536,0.49456370225815444,0.4144859813084112,0.49456370225815444,0.9988910547043859,10,all-mpnet-base-v2
SentenceTransformer,0.65,10,0.358601172427734,0.49456370225815444,0.41574876962737284,0.49456370225815444,0.9989000677014743,10,all-mpnet-base-v2
SentenceTransformer,0.7,1,0.5655021834061136,0.4332311123501533,0.49060773480662984,0.4332311123501533,0.9995860954413994,10,all-mpnet-base-v2
